650	106	SM11
651	21	SMM
652	20	SMM
653	73	SM11a
654	68	SM11b
655	108	SM12
656	210	SM12a
657	48	BW
658	37	SM12a
659	62	SM10a
660	25	SMP2
661	62	SM10b
662	106	SM11
663	73	SM11a
664	68	SM11b
665	108	SM12
666	210	SM12a
667	20	SMM
668	21	SMM
694	1	S1H
695	24	SA
696	24	SA
697	24	SA
698	25	SA
699	25	SA
701	68	S1W
702	68	S1H
703	33	SB
704	78	S1a
705	106	S2
706	7	SP1
707	78	S2a
708	21	SCS
709	20	SCS
710	110	S3
711	22	SD
712	22	SD
713	22	SD
714	23	SD
715	23	SD
716	22	SD
717	23	SD
718	22	SD
719	31	SD
720	85	S3a
721	111	S4
722	8	SP2
723	326	S4a
724	21	SEK
725	22	SEF
726	23	SC2
727	81	S5I
728	81	S5R
729	40	SF
730	84	S5a
731	83	S6H
732	83	S6K
733	6	SP3
734	21	SGG
735	24	SGI
736	87	S6a
737	8	SP4
738	78	SH
739	79	S7D
740	79	S7R
741	2	SP5
742	2	SP5
743	2	SP5
744	4	SP5
745	115	S8
746	34	S8a
747	32	SJ
748	279	S8b
849	38	SK
850	561	SI
851	127	S9
852	25	SN
853	138	S9a
854	22	SLL
855	21	SLD
856	88	S10D
857	88	S10P
858	120	S10a
859	148	S10a
860	16	S8a-G
861	101	S10b
862	127	S11
863	21	SPZ
864	21	SPD
865	6	SP6
866	140	S11a
867	125	S12
868	32	SO
869	351	S12a
870	108	SV1S
